timestamp,error_type,message,traceback
2026-03-24T12:18:34.458000,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:19:15.114321,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:19:41.073226,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:19:51.302335,ZeroDivisionError,division by zero,
2026-03-24T12:20:21.546958,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:20:47.405927,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:20:53.184491,ZeroDivisionError,division by zero,
2026-03-24T12:21:28.591869,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:21:53.832595,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:21:55.303092,ZeroDivisionError,division by zero,
2026-03-24T12:22:34.990228,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:22:56.529778,ZeroDivisionError,division by zero,
2026-03-24T12:23:00.248030,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:23:41.420255,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:23:58.191337,ZeroDivisionError,division by zero,
2026-03-24T12:24:06.686911,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:24:47.804457,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:24:59.814792,ZeroDivisionError,division by zero,
2026-03-24T12:25:13.030255,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:25:54.211346,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:26:01.511642,ZeroDivisionError,division by zero,
2026-03-24T12:26:19.467223,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:27:00.617502,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:27:02.575442,ZeroDivisionError,division by zero,
2026-03-24T12:27:25.816032,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:28:04.213520,ZeroDivisionError,division by zero,
2026-03-24T12:28:07.340008,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:28:32.167536,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:29:05.579249,ZeroDivisionError,division by zero,
2026-03-24T12:29:13.740972,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:29:40.821600,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:30:06.884346,ZeroDivisionError,division by zero,
2026-03-24T12:30:23.460487,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:30:48.141721,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:31:08.405989,ZeroDivisionError,division by zero,
2026-03-24T12:31:30.084537,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=created-time'",
2026-03-24T12:31:54.893676,ClientResponseError,"400, message='Bad Request', url='https://api.manifold.markets/v0/markets?limit=1000&offset=0&sort=newest'",
2026-03-24T12:32:09.662565,ZeroDivisionError,division by zero,
